"지역별","지표별",2015
"서울 종로구","사망률 (인구 10만명당 사망자)",549.9
"서울 종로구","남녀성비 (%)",97.59
"서울 종로구","인구 천명당 외국인수 (명)",57.01
"서울 종로구","전입인구 (명)",24951
"서울 종로구","출생아수 (명)",906
"서울 종로구","전출인구 (명)",27470
"서울 종로구","합계출산율 (명)",0.813
"서울 종로구","인구증가율 (%)",-0.92
"서울 종로구","주민등록인구 (명)",154986
"서울 종로구","등록외국인 현황  (명)",8836
"서울 종로구","고령인구비율 (%)",15.97
"서울 종로구","순이동인구 (명)",-2519
"서울 종로구","사망자수 (명)",829
"서울 종로구","혼인건수 (건)",806
"서울 종로구","1인가구비율 (%)",37.0
"서울 종로구","조이혼율 (천명당)",1.8
"서울 종로구","유아 천명당 보육시설수 (개)",14.86
"서울 종로구","조혼인율 (천명당)",5.3
"서울 종로구","흡연율 (%)",22.5
"서울 종로구","주관적건강수준 인지율 (%)",51.6
"서울 종로구","음주율 (%)",63.3
"서울 종로구","스트레스 인지율 (%)",28.3
"서울 종로구","비만율 (%)",24.2
"서울 종로구","EQ-5D지표",0.950
"서울 종로구","인구 천명당 의료기관병상수 (개)",21.47
"서울 종로구","인구 천명당 의료기관종사의사수 (명)",18.44
"서울 종로구","대학교 수 (개)",3
"서울 종로구","초등학교수 (개)",14
"서울 종로구","대학교 교원수 (명)",1532
"서울 종로구","유치원 교원수 (명)",91
"서울 종로구","인구 천명당 사설학원수 (개)",1.68
"서울 종로구","유치원수 (개)",17
"서울 종로구","유치원 원아수 (명)",1238
"서울 종로구","초등학교 학생수 (명)",6084
"서울 종로구","대학교 학생수 (명)",39738
"서울 종로구","교원1인당 학생수 (명)",18.80
"서울 종로구","초등학교 교원수 (명)",475
"서울 종로구","토지거래현황 (천m²)",447
"서울 종로구","토지거래현황 (필지)",5533
"서울 종로구","자동차 천대당 교통사고발생건수 (건)",22.76
"서울 종로구","도로포장률 (%)",100.00
"서울 종로구","도시지역면적 (km²)",24
"서울 종로구","주택전세가격지수",95.5
"서울 종로구","주택수 (호)",43550
"서울 종로구","1인당 자동차 등록대수 (대)",0.32
"서울 종로구","지가변동률 (%)",1.90
"서울 종로구","토지거래 면적 (천㎡)",447
"서울 종로구","주택매매가격지수",96.1
"서울 종로구","아파트월세가격지수 (명)",103.8
"서울 종로구","아파트전세가격지수 (명)",93.1
"서울 종로구","주택월세통합가격지수 (명)",101.7
"서울 종로구","아파트매매가격지수 (명)",94.4
"서울 종로구","주택월세가격지수 (명)",101.7
"서울 종로구","아파트월세통합가격지수 (명)",101.0
"서울 종로구","인구 십만명당 문화기반시설수 (개)",39.36
"서울 종로구","친환경인증 축산물 출하량 (톤)",0
"서울 종로구","친환경인증 농산물 출하량 (톤)",145
"서울 종로구","인구 천명당 사업체수 (개)",263.71
"서울 종로구","재정자주도 (%)",71.2
"서울 종로구","인구 천명당 종사자수 (명)",1736.32
"서울 종로구","사업체수 (개)",40871
"서울 종로구","재정자립도 (%)",56.2
"서울 종로구","가구수 (가구)",68429
"서울 종로구","주민 만명당 화재발생건수 (건)",16.78
"서울 종로구","주민 1인당 생활폐기물배출량 (kg/일)",2.09
"서울 종로구","폐수배출업소수 (개소)",143
"서울 종로구","일반폐기물재활용률 (%)",61.81
"서울 종로구","하수도보급률 (%)",100.0
"서울 종로구","상수도보급률 (%)",100.0
"서울 종로구","건강보험 적용인구 현황",155982
"서울 종로구","장애인고용률 (%)",1.76
"서울 종로구","일반회계중 일반공공행정예산비중 (%)",9.38
"서울 종로구","일반회계중 사회복지예산비중 (%)",33.19
"서울 종로구","노인 천명당 노인여가복지시설수 (개)",2.04
"서울 종로구","인구 십만명당 자살률 (명)",23.2
"서울 종로구","인구 십만명당 사회복지시설수 (개)",10.32
"서울 중구","사망률 (인구 10만명당 사망자)",561.1
"서울 중구","남녀성비 (%)",99.43
"서울 중구","인구 천명당 외국인수 (명)",68.37
"서울 중구","전입인구 (명)",20078
"서울 중구","출생아수 (명)",950
"서울 중구","전출인구 (명)",22950
"서울 중구","합계출산율 (명)",0.946
"서울 중구","인구증가율 (%)",-1.39
"서울 중구","주민등록인구 (명)",125733
"서울 중구","등록외국인 현황  (명)",8596
"서울 중구","고령인구비율 (%)",15.97
"서울 중구","순이동인구 (명)",-2872
"서울 중구","사망자수 (명)",689
"서울 중구","혼인건수 (건)",916
"서울 중구","1인가구비율 (%)",37.4
"서울 중구","조이혼율 (천명당)",2.2
"서울 중구","유아 천명당 보육시설수 (개)",12.86
"서울 중구","조혼인율 (천명당)",7.5
"서울 중구","흡연율 (%)",24.5
"서울 중구","주관적건강수준 인지율 (%)",44.0
"서울 중구","음주율 (%)",63.4
"서울 중구","스트레스 인지율 (%)",31.8
"서울 중구","비만율 (%)",23.4
"서울 중구","EQ-5D지표",0.952
"서울 중구","인구 천명당 의료기관병상수 (개)",12.38
"서울 중구","인구 천명당 의료기관종사의사수 (명)",10.16
"서울 중구","대학교 수 (개)",2
"서울 중구","초등학교수 (개)",12
"서울 중구","대학교 교원수 (명)",647
"서울 중구","유치원 교원수 (명)",98
"서울 중구","인구 천명당 사설학원수 (개)",1.00
"서울 중구","유치원수 (개)",13
"서울 중구","유치원 원아수 (명)",1204
"서울 중구","초등학교 학생수 (명)",5739
"서울 중구","대학교 학생수 (명)",23004
"서울 중구","교원1인당 학생수 (명)",19.23
"서울 중구","초등학교 교원수 (명)",412
"서울 중구","토지거래현황 (천m²)",240
"서울 중구","토지거래현황 (필지)",7788
"서울 중구","자동차 천대당 교통사고발생건수 (건)",21.65
"서울 중구","도로포장률 (%)",100.00
"서울 중구","도시지역면적 (km²)",10
"서울 중구","주택전세가격지수",95.8
"서울 중구","주택수 (호)",37478
"서울 중구","1인당 자동차 등록대수 (대)",0.42
"서울 중구","지가변동률 (%)",1.81
"서울 중구","토지거래 면적 (천㎡)",240
"서울 중구","주택매매가격지수",95.7
"서울 중구","아파트월세가격지수 (명)",102.5
"서울 중구","아파트전세가격지수 (명)",94.9
"서울 중구","주택월세통합가격지수 (명)",101.2
"서울 중구","아파트매매가격지수 (명)",95.1
"서울 중구","주택월세가격지수 (명)",101.2
"서울 중구","아파트월세통합가격지수 (명)",100.2
"서울 중구","인구 십만명당 문화기반시설수 (개)",19.09
"서울 중구","친환경인증 축산물 출하량 (톤)",0
"서울 중구","친환경인증 농산물 출하량 (톤)",2
"서울 중구","인구 천명당 사업체수 (개)",526.43
"서울 중구","재정자주도 (%)",70.0
"서울 중구","인구 천명당 종사자수 (명)",3370.70
"서울 중구","사업체수 (개)",66190
"서울 중구","재정자립도 (%)",65.7
"서울 중구","가구수 (가구)",55508
"서울 중구","주민 만명당 화재발생건수 (건)",18.85
"서울 중구","주민 1인당 생활폐기물배출량 (kg/일)",3.98
"서울 중구","폐수배출업소수 (개소)",482
"서울 중구","일반폐기물재활용률 (%)",62.98
"서울 중구","하수도보급률 (%)",100.0
"서울 중구","상수도보급률 (%)",100.0
"서울 중구","건강보험 적용인구 현황",131175
"서울 중구","장애인고용률 (%)",1.85
"서울 중구","일반회계중 일반공공행정예산비중 (%)",6.92
"서울 중구","일반회계중 사회복지예산비중 (%)",32.80
"서울 중구","노인 천명당 노인여가복지시설수 (개)",1.84
"서울 중구","인구 십만명당 자살률 (명)",25.2
"서울 중구","인구 십만명당 사회복지시설수 (개)",7.16
"서울 용산구","사망률 (인구 10만명당 사망자)",493.7
"서울 용산구","남녀성비 (%)",94.18
"서울 용산구","인구 천명당 외국인수 (명)",62.43
"서울 용산구","전입인구 (명)",37064
"서울 용산구","출생아수 (명)",1967
"서울 용산구","전출인구 (명)",41361
"서울 용산구","합계출산율 (명)",1.005
"서울 용산구","인구증가율 (%)",-0.80
"서울 용산구","주민등록인구 (명)",233342
"서울 용산구","등록외국인 현황  (명)",14567
"서울 용산구","고령인구비율 (%)",15.15
"서울 용산구","순이동인구 (명)",-4297
"서울 용산구","사망자수 (명)",1113
"서울 용산구","혼인건수 (건)",1515
"서울 용산구","1인가구비율 (%)",34.4
"서울 용산구","조이혼율 (천명당)",1.9
"서울 용산구","소년·소녀가정현황 (명)",4
"서울 용산구","유아 천명당 보육시설수 (개)",12.36
"서울 용산구","조혼인율 (천명당)",6.7
"서울 용산구","흡연율 (%)",23.2
"서울 용산구","주관적건강수준 인지율 (%)",56.8
"서울 용산구","음주율 (%)",60.6
"서울 용산구","스트레스 인지율 (%)",27.8
"서울 용산구","비만율 (%)",24.6
"서울 용산구","EQ-5D지표",0.958
"서울 용산구","인구 천명당 의료기관병상수 (개)",4.42
"서울 용산구","인구 천명당 의료기관종사의사수 (명)",3.12
"서울 용산구","대학교 수 (개)",1
"서울 용산구","초등학교수 (개)",15
"서울 용산구","대학교 교원수 (명)",399
"서울 용산구","유치원 교원수 (명)",135
"서울 용산구","인구 천명당 사설학원수 (개)",0.70
"서울 용산구","유치원수 (개)",17
"서울 용산구","유치원 원아수 (명)",1753
"서울 용산구","초등학교 학생수 (명)",8210
"서울 용산구","대학교 학생수 (명)",12847
"서울 용산구","교원1인당 학생수 (명)",16.50
"서울 용산구","초등학교 교원수 (명)",612
"서울 용산구","토지거래현황 (천m²)",387
"서울 용산구","토지거래현황 (필지)",8200
"서울 용산구","자동차 천대당 교통사고발생건수 (건)",17.32
"서울 용산구","도로포장률 (%)",100.00
"서울 용산구","도시지역면적 (km²)",22
"서울 용산구","주택전세가격지수",96.2
"서울 용산구","주택수 (호)",70723
"서울 용산구","1인당 자동차 등록대수 (대)",0.33
"서울 용산구","지가변동률 (%)",1.50
"서울 용산구","토지거래 면적 (천㎡)",387
"서울 용산구","주택매매가격지수",94.7
"서울 용산구","아파트월세가격지수 (명)",101.6
"서울 용산구","아파트전세가격지수 (명)",95.4
"서울 용산구","주택월세통합가격지수 (명)",101.0
"서울 용산구","아파트매매가격지수 (명)",93.8
"서울 용산구","주택월세가격지수 (명)",101.0
"서울 용산구","아파트월세통합가격지수 (명)",99.7
"서울 용산구","인구 십만명당 문화기반시설수 (개)",6.00
"서울 용산구","친환경인증 축산물 출하량 (톤)",0
"서울 용산구","친환경인증 농산물 출하량 (톤)",8
"서울 용산구","인구 천명당 사업체수 (개)",90.76
"서울 용산구","재정자주도 (%)",62.7
"서울 용산구","인구 천명당 종사자수 (명)",571.89
"서울 용산구","사업체수 (개)",21178
"서울 용산구","재정자립도 (%)",47.9
"서울 용산구","가구수 (가구)",96385
"서울 용산구","주민 만명당 화재발생건수 (건)",8.01
"서울 용산구","주민 1인당 생활폐기물배출량 (kg/일)",1.09
"서울 용산구","폐수배출업소수 (개소)",57
"서울 용산구","일반폐기물재활용률 (%)",64.88
"서울 용산구","하수도보급률 (%)",100.0
"서울 용산구","상수도보급률 (%)",100.0
"서울 용산구","건강보험 적용인구 현황",228126
"서울 용산구","장애인고용률 (%)",2.13
"서울 용산구","일반회계중 일반공공행정예산비중 (%)",7.13
"서울 용산구","일반회계중 사회복지예산비중 (%)",42.29
"서울 용산구","노인 천명당 노인여가복지시설수 (개)",2.27
"서울 용산구","인구 십만명당 자살률 (명)",23.5
"서울 용산구","인구 십만명당 사회복지시설수 (개)",5.14
"서울 성동구","사망률 (인구 10만명당 사망자)",426.7
"서울 성동구","남녀성비 (%)",98.75
"서울 성동구","인구 천명당 외국인수 (명)",27.14
"서울 성동구","전입인구 (명)",48105
"서울 성동구","출생아수 (명)",2753
"서울 성동구","전출인구 (명)",49091
"서울 성동구","합계출산율 (명)",1.095
"서울 성동구","인구증가율 (%)",0.39
"서울 성동구","주민등록인구 (명)",297003
"서울 성동구","등록외국인 현황  (명)",8062
"서울 성동구","고령인구비율 (%)",12.80
"서울 성동구","순이동인구 (명)",-986
"서울 성동구","사망자수 (명)",1244
"서울 성동구","혼인건수 (건)",2083
"서울 성동구","1인가구비율 (%)",30.7
"서울 성동구","조이혼율 (천명당)",1.9
"서울 성동구","유아 천명당 보육시설수 (개)",12.99
"서울 성동구","조혼인율 (천명당)",7.1
"서울 성동구","흡연율 (%)",19.3
"서울 성동구","주관적건강수준 인지율 (%)",48.7
"서울 성동구","음주율 (%)",64.7
"서울 성동구","스트레스 인지율 (%)",29.4
"서울 성동구","비만율 (%)",24.0
"서울 성동구","EQ-5D지표",0.962
"서울 성동구","인구 천명당 의료기관병상수 (개)",6.00
"서울 성동구","인구 천명당 의료기관종사의사수 (명)",3.32
"서울 성동구","대학교 수 (개)",2
"서울 성동구","초등학교수 (개)",20
"서울 성동구","대학교 교원수 (명)",1106
"서울 성동구","유치원 교원수 (명)",186
"서울 성동구","인구 천명당 사설학원수 (개)",0.93
"서울 성동구","유치원수 (개)",31
"서울 성동구","유치원 원아수 (명)",2548
"서울 성동구","초등학교 학생수 (명)",12641
"서울 성동구","대학교 학생수 (명)",28614
"서울 성동구","교원1인당 학생수 (명)",17.45
"서울 성동구","초등학교 교원수 (명)",939
"서울 성동구","토지거래현황 (천m²)",620
"서울 성동구","토지거래현황 (필지)",12649
"서울 성동구","자동차 천대당 교통사고발생건수 (건)",10.16
"서울 성동구","도로포장률 (%)",100.00
"서울 성동구","도시지역면적 (km²)",17
"서울 성동구","주택전세가격지수",97.2
"서울 성동구","주택수 (호)",82331
"서울 성동구","1인당 자동차 등록대수 (대)",0.32
"서울 성동구","지가변동률 (%)",2.22
"서울 성동구","토지거래 면적 (천㎡)",620
"서울 성동구","주택매매가격지수",95.1
"서울 성동구","아파트월세가격지수 (명)",102.0
"서울 성동구","아파트전세가격지수 (명)",96.4
"서울 성동구","주택월세통합가격지수 (명)",101.4
"서울 성동구","아파트매매가격지수 (명)",94.6
"서울 성동구","주택월세가격지수 (명)",101.4
"서울 성동구","아파트월세통합가격지수 (명)",100.2
"서울 성동구","인구 십만명당 문화기반시설수 (개)",4.71
"서울 성동구","친환경인증 축산물 출하량 (톤)",0
"서울 성동구","친환경인증 농산물 출하량 (톤)",6
"서울 성동구","인구 천명당 사업체수 (개)",87.98
"서울 성동구","재정자주도 (%)",60.1
"서울 성동구","인구 천명당 종사자수 (명)",545.51
"서울 성동구","사업체수 (개)",26130
"서울 성동구","재정자립도 (%)",39.4
"서울 성동구","가구수 (가구)",118900
"서울 성동구","주민 만명당 화재발생건수 (건)",6.63
"서울 성동구","주민 1인당 생활폐기물배출량 (kg/일)",0.87
"서울 성동구","폐수배출업소수 (개소)",320
"서울 성동구","일반폐기물재활용률 (%)",69.01
"서울 성동구","하수도보급률 (%)",100.0
"서울 성동구","상수도보급률 (%)",100.0
"서울 성동구","건강보험 적용인구 현황",292125
"서울 성동구","장애인고용률 (%)",2.38
"서울 성동구","일반회계중 일반공공행정예산비중 (%)",6.58
"서울 성동구","일반회계중 사회복지예산비중 (%)",44.58
"서울 성동구","노인 천명당 노인여가복지시설수 (개)",3.07
"서울 성동구","인구 십만명당 자살률 (명)",26.4
"서울 성동구","인구 십만명당 사회복지시설수 (개)",2.36
"서울 광진구","사망률 (인구 10만명당 사망자)",412.7
"서울 광진구","남녀성비 (%)",96.40
"서울 광진구","인구 천명당 외국인수 (명)",41.10
"서울 광진구","전입인구 (명)",58871
"서울 광진구","출생아수 (명)",2951
"서울 광진구","전출인구 (명)",63920
"서울 광진구","합계출산율 (명)",0.903
"서울 광진구","인구증가율 (%)",-0.58
"서울 광진구","주민등록인구 (명)",360369
"서울 광진구","등록외국인 현황  (명)",14811
"서울 광진구","고령인구비율 (%)",11.16
"서울 광진구","순이동인구 (명)",-5049
"서울 광진구","사망자수 (명)",1472
"서울 광진구","혼인건수 (건)",2576
"서울 광진구","1인가구비율 (%)",36.7
"서울 광진구","조이혼율 (천명당)",1.8
"서울 광진구","유아 천명당 보육시설수 (개)",14.09
"서울 광진구","조혼인율 (천명당)",7.2
"서울 광진구","흡연율 (%)",19.3
"서울 광진구","주관적건강수준 인지율 (%)",48.2
"서울 광진구","음주율 (%)",64.3
"서울 광진구","스트레스 인지율 (%)",32.1
"서울 광진구","비만율 (%)",24.7
"서울 광진구","EQ-5D지표",0.949
"서울 광진구","인구 천명당 의료기관병상수 (개)",6.85
"서울 광진구","인구 천명당 의료기관종사의사수 (명)",3.34
"서울 광진구","대학교 수 (개)",3
"서울 광진구","초등학교수 (개)",22
"서울 광진구","대학교 교원수 (명)",1130
"서울 광진구","유치원 교원수 (명)",245
"서울 광진구","인구 천명당 사설학원수 (개)",1.24
"서울 광진구","유치원수 (개)",37
"서울 광진구","유치원 원아수 (명)",3199
"서울 광진구","초등학교 학생수 (명)",15760
"서울 광진구","대학교 학생수 (명)",39423
"서울 광진구","교원1인당 학생수 (명)",21.01
"서울 광진구","초등학교 교원수 (명)",1049
"서울 광진구","토지거래현황 (천m²)",591
"서울 광진구","토지거래현황 (필지)",9587
"서울 광진구","자동차 천대당 교통사고발생건수 (건)",10.10
"서울 광진구","도로포장률 (%)",100.00
"서울 광진구","도시지역면적 (km²)",17
"서울 광진구","주택전세가격지수",98.2
"서울 광진구","주택수 (호)",79393
"서울 광진구","1인당 자동차 등록대수 (대)",0.27
"서울 광진구","지가변동률 (%)",2.55
"서울 광진구","토지거래 면적 (천㎡)",591
"서울 광진구","주택매매가격지수",96.2
"서울 광진구","아파트월세가격지수 (명)",102.2
"서울 광진구","아파트전세가격지수 (명)",96.6
"서울 광진구","주택월세통합가격지수 (명)",100.9
"서울 광진구","아파트매매가격지수 (명)",94.0
"서울 광진구","주택월세가격지수 (명)",100.9
"서울 광진구","아파트월세통합가격지수 (명)",100.2
"서울 광진구","인구 십만명당 문화기반시설수 (개)",2.50
"서울 광진구","친환경인증 축산물 출하량 (톤)",0
"서울 광진구","친환경인증 농산물 출하량 (톤)",3
"서울 광진구","인구 천명당 사업체수 (개)",68.07
"서울 광진구","재정자주도 (%)",59.3
"서울 광진구","인구 천명당 종사자수 (명)",343.23
"서울 광진구","사업체수 (개)",24531
"서울 광진구","재정자립도 (%)",30.9
"서울 광진구","가구수 (가구)",155242
"서울 광진구","주민 만명당 화재발생건수 (건)",6.69
"서울 광진구","주민 1인당 생활폐기물배출량 (kg/일)",0.94
"서울 광진구","폐수배출업소수 (개소)",52
"서울 광진구","일반폐기물재활용률 (%)",73.78
"서울 광진구","하수도보급률 (%)",100.0
"서울 광진구","상수도보급률 (%)",100.0
"서울 광진구","건강보험 적용인구 현황",356822
"서울 광진구","장애인고용률 (%)",2.66
"서울 광진구","일반회계중 일반공공행정예산비중 (%)",7.50
"서울 광진구","일반회계중 사회복지예산비중 (%)",45.09
"서울 광진구","노인 천명당 노인여가복지시설수 (개)",1.75
"서울 광진구","인구 십만명당 자살률 (명)",20.2
"서울 광진구","인구 십만명당 사회복지시설수 (개)",7.77
"서울 동대문구","사망률 (인구 10만명당 사망자)",515.9
"서울 동대문구","남녀성비 (%)",100.45
"서울 동대문구","인구 천명당 외국인수 (명)",37.96
"서울 동대문구","전입인구 (명)",55990
"서울 동대문구","출생아수 (명)",2687
"서울 동대문구","전출인구 (명)",60917
"서울 동대문구","합계출산율 (명)",0.960
"서울 동대문구","인구증가율 (%)",-0.66
"서울 동대문구","주민등록인구 (명)",360153
"서울 동대문구","등록외국인 현황  (명)",13671
"서울 동대문구","고령인구비율 (%)",14.53
"서울 동대문구","순이동인구 (명)",-4927
"서울 동대문구","사망자수 (명)",1833
"서울 동대문구","혼인건수 (건)",2159
"서울 동대문구","1인가구비율 (%)",36.1
"서울 동대문구","조이혼율 (천명당)",2.0
"서울 동대문구","소년·소녀가정현황 (명)",1
"서울 동대문구","유아 천명당 보육시설수 (개)",14.59
"서울 동대문구","조혼인율 (천명당)",6.1
"서울 동대문구","흡연율 (%)",19.6
"서울 동대문구","주관적건강수준 인지율 (%)",47.4
"서울 동대문구","음주율 (%)",69.7
"서울 동대문구","스트레스 인지율 (%)",30.8
"서울 동대문구","비만율 (%)",24.8
"서울 동대문구","EQ-5D지표",0.957
"서울 동대문구","인구 천명당 의료기관병상수 (개)",17.03
"서울 동대문구","인구 천명당 의료기관종사의사수 (명)",4.74
"서울 동대문구","대학교 수 (개)",4
"서울 동대문구","초등학교수 (개)",21
"서울 동대문구","대학교 교원수 (명)",1827
"서울 동대문구","유치원 교원수 (명)",267
"서울 동대문구","인구 천명당 사설학원수 (개)",0.97
"서울 동대문구","유치원수 (개)",33
"서울 동대문구","유치원 원아수 (명)",3437
"서울 동대문구","초등학교 학생수 (명)",14916
"서울 동대문구","대학교 학생수 (명)",72133
"서울 동대문구","교원1인당 학생수 (명)",24.52
"서울 동대문구","초등학교 교원수 (명)",975
"서울 동대문구","토지거래현황 (천m²)",680
"서울 동대문구","토지거래현황 (필지)",13521
"서울 동대문구","자동차 천대당 교통사고발생건수 (건)",16.41
"서울 동대문구","도로포장률 (%)",100.00
"서울 동대문구","도시지역면적 (km²)",15
"서울 동대문구","주택전세가격지수",97.1
"서울 동대문구","주택수 (호)",98203
"서울 동대문구","1인당 자동차 등록대수 (대)",0.27
"서울 동대문구","지가변동률 (%)",2.25
"서울 동대문구","토지거래 면적 (천㎡)",680
"서울 동대문구","주택매매가격지수",96.3
"서울 동대문구","아파트월세가격지수 (명)",102.0
"서울 동대문구","아파트전세가격지수 (명)",95.0
"서울 동대문구","주택월세통합가격지수 (명)",101.2
"서울 동대문구","아파트매매가격지수 (명)",95.2
"서울 동대문구","주택월세가격지수 (명)",101.2
"서울 동대문구","아파트월세통합가격지수 (명)",100.1
"서울 동대문구","인구 십만명당 문화기반시설수 (개)",3.33
"서울 동대문구","친환경인증 축산물 출하량 (톤)",0
"서울 동대문구","친환경인증 농산물 출하량 (톤)",0
"서울 동대문구","인구 천명당 사업체수 (개)",91.61
"서울 동대문구","재정자주도 (%)",53.3
"서울 동대문구","인구 천명당 종사자수 (명)",399.44
"서울 동대문구","사업체수 (개)",32994
"서울 동대문구","재정자립도 (%)",29.4
"서울 동대문구","가구수 (가구)",153362
"서울 동대문구","주민 만명당 화재발생건수 (건)",6.19
"서울 동대문구","주민 1인당 생활폐기물배출량 (kg/일)",1.13
"서울 동대문구","폐수배출업소수 (개소)",66
"서울 동대문구","일반폐기물재활용률 (%)",71.42
"서울 동대문구","하수도보급률 (%)",100.0
"서울 동대문구","상수도보급률 (%)",100.0
"서울 동대문구","건강보험 적용인구 현황",348895
"서울 동대문구","장애인고용률 (%)",2.42
"서울 동대문구","일반회계중 일반공공행정예산비중 (%)",5.91
"서울 동대문구","일반회계중 사회복지예산비중 (%)",51.08
"서울 동대문구","노인 천명당 노인여가복지시설수 (개)",1.95
"서울 동대문구","인구 십만명당 자살률 (명)",28.4
"서울 동대문구","인구 십만명당 사회복지시설수 (개)",8.33
"서울 중랑구","사망률 (인구 10만명당 사망자)",499.3
"서울 중랑구","남녀성비 (%)",99.57
"서울 중랑구","인구 천명당 외국인수 (명)",11.38
"서울 중랑구","전입인구 (명)",64638
"서울 중랑구","출생아수 (명)",3368
"서울 중랑구","전출인구 (명)",71284
"서울 중랑구","합계출산율 (명)",1.051
"서울 중랑구","인구증가율 (%)",-1.13
"서울 중랑구","주민등록인구 (명)",413909
"서울 중랑구","등록외국인 현황  (명)",4711
"서울 중랑구","고령인구비율 (%)",13.05
"서울 중랑구","순이동인구 (명)",-6646
"서울 중랑구","사망자수 (명)",2050
"서울 중랑구","혼인건수 (건)",2716
"서울 중랑구","1인가구비율 (%)",28.7
"서울 중랑구","조이혼율 (천명당)",2.5
"서울 중랑구","소년·소녀가정현황 (명)",2
"서울 중랑구","유아 천명당 보육시설수 (개)",14.04
