year,korexpm,korexpwgt,korimpm,korimpwgt,USA_balpayments,USA_expdlr,USA_expwgt,USA_impdlr,USA_impwgt,VNM_balpayments,VNM_expdlr,VNM_expwgt,VNM_impdlr,VNM_impwgt,CHN_balpayments,CHN_expdlr,CHN_expwgt,CHN_impdlr,CHN_impwgt,THI_balpayments,THI_expdlr,THI_expwgt,THI_impdlr,THI_impwgt,AUS_balpayments,AUS_expdlr,AUS_expwgt,AUS_impdlr,AUS_impwgt,Australia Area Harvested,Australia Domestic Consumption,Australia meanstock,Australia Exports,Australia Imports,Australia Production,Australia production_Domestic Consumption_rate,Australia production/total supply,Australia Rough Production,China Area Harvested,China Domestic Consumption,China meanstock,China Exports,China Imports,China Production,China production_Domestic Consumption_rate,China production/total supply,China Rough Production,"Korea, South Area Harvested","Korea, South Domestic Consumption","Korea, South meanstock","Korea, South Exports","Korea, South Imports","Korea, South Production","Korea, South production_Domestic Consumption_rate","Korea, South production/total supply","Korea, South Rough Production",Thailand Area Harvested,Thailand Domestic Consumption,Thailand meanstock,Thailand Exports,Thailand Imports,Thailand Production,Thailand production_Domestic Consumption_rate,Thailand production/total supply,Thailand Rough Production,United States Area Harvested,United States Domestic Consumption,United States meanstock,United States Exports,United States Imports,United States Production,United States production_Domestic Consumption_rate,United States production/total supply,United States Rough Production,Vietnam Area Harvested,Vietnam Domestic Consumption,Vietnam meanstock,Vietnam Exports,Vietnam Imports,Vietnam Production,Vietnam production_Domestic Consumption_rate,Vietnam production/total supply,Vietnam Rough Production,AUS_product,CHN_product,KOR_product,THA_product,USA_product,VNM_product,추계인구(명),농가인구(명),농업소득(천원),농가부채(천원),논경지면적(ha),임차농지비율(%),임차료율(%),생산량(면적),생산량(톤),자급도(%),소비량(kg),재고량(천톤),최저임금_시간,최저임금인상율,농가인구_강원도,농가인구_경기도,농가인구_경상남도,농가인구_경상북도,농가인구_광주광역시,농가인구_대구광역시,농가인구_대전광역시,농가인구_부산광역시,농가인구_서울특별시,농가인구_세종특별자치시,농가인구_울산광역시,농가인구_인천광역시,농가인구_전라남도,농가인구_전라북도,농가인구_제주특별자치도,농가인구_충청남도,농가인구_충청북도,추계인구_전국,농가인구_전국,추계인구_강원도,추계인구_경기도,추계인구_경상남도,추계인구_경상북도,추계인구_광주광역시,추계인구_대구광역시,추계인구_대전광역시,추계인구_부산광역시,추계인구_서울특별시,추계인구_세종특별자치시,추계인구_울산광역시,추계인구_인천광역시,추계인구_전라남도,추계인구_전라북도,추계인구_제주특별자치도,추계인구_충청남도,추계인구_충청북도,유통비_계,유통비_직접비,유통비_간접비,유통비_이윤,유통비_계,유통비_출하,유통비_도매,유통비_소매,도매가격,소매가격,양곡소비량_전가구 (kg),양곡소비량_농가 (kg),양곡소비량_비농가 (kg),소비자물가변동율,"1인당 국내총생산(명목, 달러표시) (달러)","1인당 국민총소득(명목, 달러표시) (달러)","1인당 가계총처분가능소득(명목, 달러표시) (달러)",국내총생산(실질성장률) (%),농림어업 (%),농가수,지급면적,수확기쌀값,지급단가,ha당 단가,지급총액,목표가격
2005,1025,202579,2672,1567547,-14147028,4954,4990,14151982,35427682,0,0,0,0,0,-33453164,0,0,33453164,85032710,-3755050,0,0,3755050,13000000,0,0,0,0,0,102,400,473,326,94,716,55.86592179,57.69540693,1001,28847,128000,37857,1216,654,126414,101.2546079,76.1534708,180591,980,4766,816,221,217,4768,99.95805369,82.17855912,6435,10220,9544,2953,7376,2,18200,52.43956044,88.71989861,27576,1361,3826,1290.5,3660,544,7101,53.87973525,80.18292683,10108,7314,18392,1304.5,4705,350,22772,80.7658528,93.27435078,34503,102,28847,979.717,10225,1359.74832,7329.200195,48184561,3433573,109505,265234,1104811,42.3,16,1234030,5520396,102,80.7,832,2926.666667,0.166002656,214434,456515,392926,543237,41771,50343,28095,27142,11770,0,34597,41221,477611,318998,110281,446022,238610,48184561,3433573,1488881,10625127,3110041,2651702,1445390,2509168,1469868,3590291,10028631,0,1071339,2581406,1851257,1816604,541833,1918287,1484736,23.2,12.6,6.7,3.9,23.2,11.4,3.8,8.0,39012 ,45903 ,80.7,130.8,77.0,2.8,18636,18490.4,11035.2,3.9,1.4,984,940,140028,15710,958310,9007,170083
2006,214,47758,95839,180479391,-31829327,1140,240,31830467,62165833,0,0,0,0,0,-68148493,0,0,68148493,140082002,-13552134,0,0,13552134,42721550,-4759680,0,0,4759680,10033040,20,435,372.5,166,198,118,368.6440678,14.19975933,164,28938,127200,36349,1340,472,127200,100,77.34638655,181714,955,4887,758.5,161,255,4680,104.4230769,81.39130435,6306,10270,9780,3052,9557,3,18250,53.5890411,83.53549686,27652,1142,4101,1318,2923,653,6267,65.43800862,75.59710495,8827,7203,18775,1354.5,4522,450,22922,81.90821045,92.8429665,34730,20,28938,955.229,10165,1149.31108,7324.799805,48438292,3304175,109188,269976,1084024,43,15.8,1180014,5300302,98.5,78.8,830,3100,0,212758,437386,379794,500539,39257,47899,25122,24758,10666,0,39247,38485,461036,307497,105103,437295,237333,48438292,3304175,1481855,10853412,3123201,2652689,1448384,2490045,1481261,3563009,10057373,0,1076340,2606698,1829648,1801414,543702,1942739,1486522,22.3,13.6,5.1,3.6,22.3,12.3,4.7,5.3,36989 ,42929 ,78.8,128.0,75.2,2.2,20872.7,20794.7,12325.2,5.2,1.6,1000,951,147715,7537,459757,4370,170083
2007,5215,2049435,177528,285870800,-41127500,876267,332839,42003767,70660918,0,0,0,0,0,-83092630,0,0,83092630,158935755,-11445149,0,0,11445149,35142503,8148,8148,4000,0,0,2,343,141,36,188,13,2638.461538,3.016241299,18,28973,127455,36957.5,1372,445,130467,97.69137023,78.20496682,186381,950,4670,698,0,254,4408,105.9437387,82.17747949,5962,10830,9600,2608.5,10011,8,19800,48.48484848,88.71762703,30000,1112,4042,1100.5,3336,759,6288,64.28117048,75.64056297,8998,7412,19400,1705,4649,300,24375,79.58974359,93.50903441,36932,2.072,28919,950.25,10669,1112.88925,7207.399902,48683638,3274089,96296,289323,1069932,42.8,16.4,1162781,5033964,95.8,76.9,695,3480,12.25806452,212405,440533,368240,500110,39949,48702,22326,25243,10938,0,39173,41788,452324,300255,105004,433585,233514,48683638,3274089,1476484,11056824,3136517,2643478,1456365,2483535,1493931,3538031,10068563,0,1079299,2642899,1805854,1791609,543134,1972847,1494268,21.2,13.0,5.1,3.1,21.2,11.5,4.7,5.0,38632 ,43487 ,76.9,127.6,73.3,2.5,23062.1,22992.1,13236.1,5.5,4.1,1016,932,150810,4907,299327,2791,170083
2008,3228,1427295,292371,425975986,-58051380,284844,115212,58336224,83806581,-182,0,0,182,33,-96262629,15,8,96262644,161721124,-40316032,0,0,40316032,63162438,15657,15681,8660,24,2,7,270,39,15,215,44,613.6363636,14.14790997,61,29350,132782,38750,747,201,134828,98.48251105,77.92219801,192611,936,4789,847.5,3,256,4843,98.88498864,83.60089764,6468,10800,9500,3747,8570,300,19850,47.85894207,86.84429278,30076,1204,4082,956,3032,610,6546,62.35869233,80.90470894,9242,7334,19000,1989.5,5950,500,24393,77.89119829,90.64323139,38904,7.194,29241,935.766,10684,1205.96726,7400.200195,49054708,3186752,91966,249231,1045991,43,16.8,1145215,5497538,94.3,75.8,686,3770,8.333333333,205178,434244,354291,490120,36037,45413,23709,24971,8657,0,38185,37867,438961,290123,102192,428273,228531,49054708,3186752,1480389,11266554,3166472,2639236,1465274,2480984,1501152,3514331,10111880,0,1091665,2689010,1794149,1788455,543894,2012542,1508721,20.9,13.3,4.8,2.8,20.9,11.6,3.6,5.7,40667 ,45075 ,75.8,122.5,72.4,4.7,20420.6,20419.1,11782.5,2.8,5.6,1025,920,162307,0,0,0,170083
2009,34640,20141085,565166,524115007,-78446761,777038,443355,79223799,75591740,-321,0,0,321,113,-159205414,25486,17580,159230900,163421112,-15001170,0,0,15001170,28261507,3763235,3763235,2268088,0,0,19,291,36,59,228,142,204.9295775,35.85858586,197,29793,134576,40750,650,388,137338,97.98890329,77.49314435,196197,924,4701,1257,9,306,4916,95.62652563,78.9972682,6502,10940,10200,5443.5,9047,300,20260,50.34550839,79.93056377,30697,1256,4014,1080.5,3516,604,7133,56.27365765,81.85678219,9972,7415,19150,1715.5,6734,400,24993,76.62145401,91.36872121,39989,18.931,29627,924.471,11140,1254.5297,7437.200195,49307835,3117323,90279,247268,1010287,45.9,15.5,1126651,5553478,101.1,74,993,4000,6.100795756,199845,430743,343591,479517,35743,40385,24605,22094,7084,0,37632,39652,425154,285584,104802,417312,223580,49307835,3117323,1485148,11413244,3192481,2634167,1479146,2481714,1508164,3497197,10138867,0,1098027,2699716,1785309,1791713,545602,2040220,1517120,19.6,16.2,1.9,1.5,19.6,12.3,4.4,2.9,38244 ,44617 ,74.0,119.0,70.9,2.8,18299.5,18256.2,10508.9,0.7,3.2,815,809,142360,12028,733708,5945,170083
2010,40329,23553351,486897,570390893,-77825784,586835,272238,78412619,102684741,-184,0,0,184,50,-136174829,6559,5376,136181388,171657113,-31287418,0,0,31287418,64417428,2753778,2940299,1814993,186521,95261,76,308,36.5,389,157,521,59.11708253,71.96132597,724,30097,135598,43250,500,540,138058,98.2181402,76.44492187,197226,892,5175,1273.5,4,405,4295,120.4889406,69.12924513,5810,10667,10300,5857.5,10647,200,20262,50.83407364,76.28190648,30700,1463,4329,1349,3516,582,7593,57.01303832,81.13046266,11027,7607,19400,1705.5,7000,500,26371,73.56565925,93.0489397,42194,75.783,29873,892.074,12120,1464.96694,7489.399902,49554112,3062956,98460,256501,984140,47.9,13.3,1095041,4836456,104.6,72.8,1509,4110,2.75,191922,412138,347499,491225,37994,50351,27605,24961,13602,0,34078,37750,395835,277611,114539,394324,211522,49554112,3062956,1488794,11618962,3217263,2630443,1493632,2479781,1515009,3476658,10088611,0,1099035,2722990,1777282,1795819,547917,2077637,1524279,20.7,16.9,2.2,1.6,20.7,13.3,4.5,2.9,33390 ,41221 ,72.8,118.5,69.8,2.9,22083.2,22105.3,12234.8,6.5,-4.3,781,789,138231,15588,950868,7501,170083
2011,36130,20397567,514328,541815858,-125184827,244471,160692,125429298,155158908,-7196473,0,0,7196473,15000143,-230489725,0,0,230489725,263806084,-60502334,249391,504560,60751725,115683032,2592189,2592287,1440329,98,8,103,325,33.5,457,133,662,49.09365559,80.53527981,919,30338,137867,47250,441,1790,142018,97.07713107,75.41793232,202883,854,4880,894.5,3,380,4224,115.530303,74.92018446,5616,11000,10400,7472.5,6945,600,20460,50.83088954,76.70103093,31000,1059,3492,1408.5,3200,615,5866,59.52949199,73.37085679,8388,7740,19650,1883.5,7717,100,27152,72.37035946,93.00859795,43443,103.115,30057,853.823,11957,1060.27994,7655.399902,49936638,2962113,82016,239335,959914,47.3,14.4,1055847,4775135,83.1,71.2,1051,4320,5.109489051,183273,412351,336641,471076,35232,50876,29332,23565,11768,0,33154,36196,379767,259552,114062,378094,207174,49936638,2962113,1497944,11825310,3244712,2644992,1502051,2483116,1528356,3476349,10072235,0,1112079,2754739,1778593,1808733,553845,2108370,1545214,21.3,13.4,4.7,3.2,21.3,11.5,4.4,5.4,38820 ,43852 ,71.2,115.3,68.3,4.0,24083.7,24225.6,13404.1,3.7,-2,740,754,166308,0,0,0,170083
2012,27183,14280334,876896,1017608431,-47517684,185256,90483,47702940,64220449,-21759838,0,0,21759838,51441163,-70622470,21223,10005,70643693,76606276,-20539355,0,0,20539355,35075099,2094451,2094770,1081317,319,52,114,350,139,440,152,836,41.86602871,81.3229572,1161,30476,139381,54000,341,3150,144572,96.40940154,73.1188234,206531,849,4489,767.5,2,510,4006,112.0569146,76.00075887,5405,10837,10500,11069,6722,500,20200,51.98019802,67.26606727,30606,1084,3779,1229.5,3385,669,6348,59.53056081,76.29807692,9069,7864,21600,1494.5,6700,100,27537,78.4399172,93.46298748,44059,113,30137,849.172,11957,1084.56116,7761.200195,50199853,2911541,81080,249054,966076,47.8,14.4,1051676,4565223,86.6,69.8,762,4580,6.018518519,180144,407109,327931,465408,32903,51514,28760,22859,9927,0,32523,34760,370614,263112,113298,367944,202735,50199853,2911541,1504234,11974482,3265495,2655755,1503758,2480493,1540136,3461881,10036273,102157,1124659,2793754,1782361,1817430,560818,2042689,1553478,20.8,13.3,5.5,2.0,20.8,10.9,3.9,6.0,42304 ,44284 ,69.8,111.2,67.0,2.2,24349.9,24599.9,13616.9,2.3,-0.9,719,747,173779,0,0,0,170083
2013,19981,9537721,1208906,1415837825,-145249809,179706,85724,145429515,202398858,-904481,11883,5750,916364,900155,-284386907,0,0,284386907,329041042,-20145393,0,0,20145393,35593641,-21059344,1375816,648371,22435160,29994074,75,357,239.5,385,155,590,60.50847458,60.02034588,819,30710,140140,62000,260,4000,144400,97.0498615,69.96124031,206286,833,4422,839.5,2,313,4230,104.5390071,79.46646628,5632,10920,10600,12403.5,10969,300,20460,51.80840665,60.95090562,31000,999,3978,1090.5,3004,734,6117,65.03187837,76.3956538,8615,7788,22000,1231,6325,300,28161,78.12222577,95.06143667,45058,74.89296,30311,832.625,11684,999.57689,7902.5,50428893,2847435,88982,250357,963876,50,12.1,1039665,4825079,89.2,67.2,801,4860,6.113537118,177227,390378,320095,458791,32231,50618,28816,20486,9164,0,32114,32368,370954,258880,111745,356158,197410,50428893,2847435,1505686,12126274,3277965,2660941,1503835,2475657,1545232,3455734,9990010,118463,1137472,2829608,1783896,1820969,570034,2062301,1564816,21.5,13.3,5.7,2.5,21.5,11.0,3.8,6.7,44151 ,46692 ,67.2,107.9,63.9,1.3,25885.6,26070.3,14643.4,2.9,3.1,697,735,174707,0,0,0,188000
2014,21704,9622244,124810,130206860,-21974252,302603,123280,22276855,24697431,-22612208,3164,948,22615372,47655115,-187163465,1332,144,187164797,204277176,-37583810,0,0,37583810,90498169,-27416766,1469462,692960,28886228,33069164,70,364,232,308,157,497,73.23943662,55.53072626,690,30765,141000,71000,426,4700,146726,96.09748783,67.48318968,209609,816,4197,1152.5,2,465,4241,98.96250884,75.66458519,5638,10270,10000,11634.5,9779,300,18750,53.33333333,60.38841831,28409,1187,4284,1288.5,3078,783,7106,60.28708134,79.71729863,10079,7823,22000,1279,6606,400,28166,78.10835759,94.31106647,45066,69.66367,30310,815.506,10664.94043,1185.73291,7816.200195,50746659,2751791,89945,255465,933615,49.9,13.1,1012552,4827885,95.7,65.1,874,5210,7.201646091,172026,374872,310985,446920,32062,49187,27590,19935,8689,15312,29687,32089,355601,250581,109510,328993,187752,50746659,2751791,1510198,12282013,3307369,2670922,1504582,2474900,1552692,3452309,9975163,132437,1151171,2862241,1791887,1829437,583335,2087600,1578403,22.0,14.0,5.5,2.5,22.0,11.9,4.0,6.1,42664 ,45763 ,65.1,104.7,61.9,1.3,27804.5,27892.2,15820.4,3.3,3.6,669,729,166198,4226,266238,1941,188000
2015,24356,11305075,695319,689129330,-135308629,1148329,365010,136456958,153045168,-16654200,5638,1060,16659838,41000098,-159801514,76028,24119,159877542,184611441,-4825335,0,0,4825335,10078022,-12491884,1428156,801726,13920040,15414090,27,370,150,140,167,197,187.8172589,33.560477,274,30784,141028,82000,271,4800,148499,94.96898969,64.76216643,212141,799,4212,1618.5,2,312,4327,97.34226947,71.57981803,5771,9444,9100,9836.5,9867,300,15800,57.59493671,57.7274388,23939,1046,3580,1513.5,3396,766,6133,58.37273765,72.57129334,8761,7704,22500,1407,5088,300,27584,81.56902552,94.65051642,44134,26.62482,30213,799.344,9628.080078,1048.13933,7830.600098,51014947,2569387,98604,249353,908194,50.9,13.9,982842,4845870,101,62.9,1354,5580,7.101727447,175567,350200,293720,410141,30746,44542,25569,20944,11555,16335,31228,32454,318848,227431,93404,308455,178248,51014947,2569387,1516636,12423017,3330230,2677768,1505906,2468755,1542394,3452260,9941162,187202,1163719,2882868,1796578,1835125,599252,2102811,1589264,25.8,15.1,6.7,4.0,25.8,12.6,5.0,8.2,39719 ,44600 ,62.9,102.1,60.0,0.7,27097.1,27170.9,15487.4,2.8,-0.4,685,726,150659,15867,999621,7262,188000
2016,36406,18339032,504019,571822230,-84944575,1175277,477376,86119852,119403964,-5024044,62527,32555,5086571,11010266,-153148228,941655,449676,154089883,179281107,-4241857,14796,2106,4256653,9802056,-12521375,984424,599473,13505799,16112711,82,385,142.5,226,161,581,66.26506024,70.94017094,807,30746,141761,93250,805,5300,147766,95.93614228,61.29690624,211094,779,4651,1807.5,4,411,4197,110.8172504,65.18092872,5596,10247,12000,6320.5,11615,250,19200,62.5,68.93332855,29091,1253,4230,1468.5,3645,745,7117,59.43515526,76.22362643,10167,7714,22000,1261,6488,500,27400,80.2919708,93.02325581,43840,80.35432087,30182,778.734,10780,1254.5297,7742.700195,51245707,2496406,89695,259572,895739,50,11.3,961792,4706554,102.5,61.9,1747,6030,8.064516129,171363,324562,280720,402247,29800,43743,24525,20554,9599,14982,31278,31226,321395,224661,88385,296801,180565,51245707,2496406,1519837,12611742,3346191,2685620,1503589,2465364,1534974,3447109,9852081,232551,1168651,2906795,1799747,1833490,618549,2123194,1596223,28.7,17.4,7.0,4.3,28.7,14.7,5.4,8.6,34930 ,39698 ,61.9,100.5,59.6,1.0,27606.7,27681,15514.9,2.9,-2.8,684,706,129711,33499,2110437,14898,188000
2017,17951,9362011,200957,293006907,-104953365,1389650,540844,106343015,178564849,-47171664,74445,43405,47246109,71605144,-123892281,9485,2019,123901766,157098185,-14591054,5969,1824,14597023,35018695,-5238246,1051055,602013,6289301,10008230,60,390,192.5,250,155,454,85.9030837,55.56915545,631,30747,142487,103750,1386,5500,148873,95.71043776,58.87263567,212676,755,4883,1497,63,400,3972,122.9355488,64.52241715,5296,10684,11170,3613,10700,250,20370,54.83554246,81.94545016,30864,961,4279,1197.5,2763,854,5659,75.61406609,70.95924765,8084,7690,21800,1002.5,7000,400,28471,76.56914053,95.41859374,45554,84.36710463,30180,754.785,11045,959.10819,7716.600098,51446201,2422255,90223,255171,864865,51.4,11.5,919593,4465983,94.5,61.8,1887,6470,7.296849088,160871,316573,274930,395275,26761,42395,23272,19133,9374,14821,30577,29991,315035,214548,86463,288800,173436,51446201,2422255,1520785,12809379,3355238,2681097,1500977,2465268,1531256,3428923,9776305,275594,1165646,2923047,1795956,1829707,634161,2147723,1605139,28.8,17.5,7.1,4.4,28.8,14.8,5.5,8.7,33569 ,37388 ,61.8,96.6,59.8,1.9,29743.5,29744.6,16573.4,3.1,0.3,675,684,154603,12514,788382,5393,188000
