year,추계인구(명),농가인구(명),추계인구_전국,농가인구_전국,유통비_직접비,유통비_간접비,유통비_이윤,유통비_계,유통비_출하,유통비_도매,유통비_소매,자급도(%),전년도양곡소비량_전가구 (kg),전년도소비자물가변동율,가계지출(소비지출+비소비지출) (천원),전년도양곡수요,생산량(톤),전년도재고량(천톤),최저임금_시간,최저임금인상율,직접노동투하량,korexpwgt,korimpwgt,농업소득(천원),농가부채(천원),논경지면적(ha),임차농지비율(%),임차료율(%),농가수,전년도지급면적,전년도지급단가,전년도ha당 단가,전년도지급총액,목표가격,농가교역조건지수(A/B),농가판매가격지수(A),농가구입가격지수(B),농업소득 (천원),농업소득률 (%),농업소득의 가계비충족 (%),농업순생산 (천원),농업의존도 (%),부채 (천원),자산 (천원),매입량(톤),합계면적,합계생산량,1인당 국내총생산(명목 달러표시) (달러),1인당 국민총소득(명목 달러표시) (달러),1인당 가계총처분가능소득(명목 달러표시) (달러),국내총생산(실질성장률) (%),쌀생산량-정부매입량,전년도단경기가격,전년도계절진폭,수확기
2005,17.69054922,15.04911197,17.69054922,15.04911197,2.533696814,1.902107526,1.360976553,3.144152279,2.433613355,1.335001067,2.079441542,4.569543008,4.406719247,1.280933845,9.963970988,9.84585844,15.52396015,6.745236349,7.981619398,-1.795751491,6.934932607,12.21888521,14.26502254,11.60372549,12.48836773,13.91518484,3.744787086,2.772588722,6.891625897,0,0,0,0,12.04404183,4.728272383,4.527208645,4.404277244,9.190953658,3.897924081,3.832113622,9.608445126,3.768152635,9.791885376,12.52563122,6.579251212,13.79501903,15.37751467,9.832850473,9.825006957,9.308845443,1.360976553,15.52382972,10.46112997,2.155847359,10.49965566
2006,17.69580122,15.01069738,17.69580122,15.01069738,2.610069793,1.62924054,1.280933845,3.104586678,2.509599262,1.547562509,1.667706821,4.624972813,4.390738575,1.029619417,10.08138266,9.896362228,15.48327436,6.723832441,8.03915739,0,6.869128789,10.77390187,19.01112715,11.60082645,12.50608835,13.8961906,3.761200116,2.76000994,6.907755279,6.845879875,9.662052731,13.7729266,9.105757332,12.04404183,4.702296897,4.519612298,4.422448549,9.286467732,3.895893623,3.810211739,9.715711145,3.735285827,9.922946984,12.80600196,6.222576268,13.76970638,15.35880674,9.946197364,9.942453426,9.419401226,1.648658626,15.48317926,10.59270201,2.985681938,10.53212288
2007,17.70085356,15.00155022,17.70085356,15.00155022,2.564949357,1.62924054,1.131402111,3.054001182,2.442347035,1.547562509,1.609437912,4.590056548,4.366912997,0.78845736,10.0158783,9.891971497,15.4317183,6.721425701,8.154787573,2.506184049,6.86445104,14.5330747,19.47105052,11.47518206,12.57529899,13.88310565,3.756538103,2.797281335,6.923628628,6.857514063,8.927579504,13.03845337,8.382518288,12.04404183,4.695924549,4.541164856,4.450852826,9.160940022,3.790984677,3.750209709,9.666498594,3.674273302,10.00482499,12.91025373,6.033086222,13.76448039,15.29887333,10.04594586,10.04290596,9.490703224,1.704748092,15.43163546,10.56766925,2.610069793,10.55116655
2008,17.70844672,14.97451277,17.70844672,14.97451277,2.587764035,1.568615918,1.029619417,3.039749159,2.451005098,1.280933845,1.740466175,4.562262685,4.342505877,0.916290732,10.03249623,9.872100079,15.51981091,6.543911846,8.23483028,2.120263536,6.815091594,14.1712916,19.86989353,11.42917422,12.42613546,13.86047532,3.761200116,2.821378886,6.932447892,6.837332815,8.498418036,12.6092919,7.934155234,12.04404183,4.578826211,4.520701029,4.547541073,9.090091799,3.744787086,3.662792119,9.60366542,3.638375322,9.615672138,12.71016062,5.991464547,13.74912072,15.39314362,9.924299474,9.924226016,9.374370659,1.029619417,15.51973815,10.58430908,2.595254707,10.61130165
2009,17.71359355,14.95248518,17.71359355,14.95248518,2.785011242,0.641853886,0.405465108,2.975529566,2.509599262,1.481604541,1.064710737,4.54648119,4.328098293,1.547562509,9.986633134,9.80504748,15.52993496,6.530877628,8.29404964,1.808419214,6.758024816,16.81827232,20.0772217,11.41066015,12.41822805,13.82574501,3.826465117,2.740840024,6.703188113,6.82437367,0,0,0,12.04404183,4.551769409,4.536891345,4.590056548,9.014933576,3.701301974,3.633366744,9.550377675,3.629394807,9.579348943,12.73759461,6.56526497,13.73697696,15.40802202,9.814629016,9.812260027,9.259977796,-0.356674944,15.5298071,10.6416559,2.57261223,10.45051009
2010,17.7185758,14.93489102,17.7185758,14.93489102,2.827313622,0.78845736,0.470003629,3.0301337,2.587764035,1.504077397,1.064710737,4.616110126,4.304065093,1.029619417,9.957596878,9.828656242,15.39169278,6.900730664,8.321178307,1.011600912,6.738128798,16.97477866,20.16183246,11.49740565,12.45488784,13.79952344,3.869115504,2.587764035,6.66057515,6.695798917,9.394992544,13.50586641,8.690305809,12.04404183,4.605170186,4.605170186,4.605170186,8.881002624,3.561046083,3.528417232,9.527775403,3.551626861,9.558670595,12.74612401,6.079933195,13.70130437,15.27305827,10.00257242,10.00357268,9.412039629,1.871802177,15.39160242,10.53014765,2.90690106,10.43649532
2011,17.72626552,14.90141342,17.72626552,14.90141342,2.595254707,1.547562509,1.16315081,3.058707073,2.442347035,1.481604541,1.686398954,4.650143552,4.287715955,1.064710737,9.941361205,9.900432892,15.3789328,7.319202459,8.371010681,1.631099409,6.627273886,16.83092619,20.11043676,11.31466963,12.38561952,13.77459898,3.856510295,2.667228207,6.606650186,6.670766321,9.654256666,13.76513053,8.922791624,12.04404183,4.644390899,4.678420648,4.639571613,8.779249716,3.414442608,3.442978916,9.523178364,3.495598057,9.500843462,12.81183838,5.564520407,13.65747919,15.2562976,10.08929054,10.0951652,9.503315909,1.30833282,15.37887814,10.38464747,1.589235205,10.62086382
2012,17.73152266,14.88419305,17.73152266,14.88419305,2.587764035,1.704748092,0.693147181,3.034952987,2.388762789,1.360976553,1.791759469,4.420044702,4.265492818,1.386294361,9.924465959,9.897922094,15.33397792,6.957497371,8.429454277,1.794841136,6.600101765,16.4743939,20.74072104,11.3031916,12.42542502,13.78099779,3.867025639,2.667228207,6.577861358,6.625392368,0,0,0,12.04404183,4.70682384,4.766438334,4.664382046,8.917578754,3.493472658,3.598407551,9.630891118,3.639163862,9.510074525,12.85798629,5.894402834,13.65201704,15.20334948,10.10028302,10.11049766,9.519066947,0.832909123,15.3338984,10.57131693,1.648658626,10.67789209
2013,17.73607484,14.86192915,17.73607484,14.86192915,2.587764035,1.740466175,0.916290732,3.068052935,2.397895273,1.335001067,1.902107526,4.461299816,4.24563401,0.78845736,10.04585479,9.90643321,15.38933767,6.635946556,8.488793717,1.810505512,6.713284215,16.07076513,21.0709873,11.39618938,12.43064318,13.77871793,3.912023005,2.493205453,6.546785411,6.616065185,0,0,0,12.14419724,4.660604893,4.729156166,4.673762977,8.950662496,3.414442608,3.510051787,9.701922012,3.498626527,9.862144589,12.95711838,5.908082938,13.63233864,15.25771515,10.16144211,10.16855201,9.591745001,1.064710737,15.38926139,10.64344675,1.887069649,10.68964682
2014,17.74235634,14.82776253,17.74235634,14.82776253,2.63905733,1.704748092,0.916290732,3.091042453,2.4765384,1.386294361,1.808288771,4.49088104,4.207673248,0.262364264,10.02826827,9.884661448,15.38991904,6.685860947,8.558335135,1.974309624,6.611758737,16.07958806,18.68463497,11.40695365,12.45084069,13.74681943,3.910021003,2.57261223,6.50578406,6.599870499,0,0,0,12.14419724,4.631812117,4.712229258,4.685828089,8.862341964,3.430756184,3.439135221,9.637110247,3.446170747,9.627404616,12.89385798,6.278521424,13.61156406,15.2602481,10.23295316,10.23610236,9.669055525,1.193922468,15.38980864,10.70099475,2.406945108,10.63532646
2015,17.74762923,14.75917791,17.74762923,14.75917791,2.714694744,1.902107526,1.386294361,3.250374492,2.533696814,1.609437912,2.104134154,4.561218298,4.175924549,0.262364264,10.0516489,9.908574592,15.39363735,6.773080376,8.626944055,1.960338057,6.532974553,16.2407623,20.35093952,11.49886711,12.42662484,13.71921329,3.929862924,2.63188884,6.529418838,6.591673732,8.349011198,12.49214592,7.570958583,12.14419724,4.648229675,4.734442522,4.691347882,9.033006357,3.5085559,3.586569835,9.749345206,3.488292089,9.611663581,12.89029007,6.327936784,13.59154667,15.28036537,10.20718199,10.20990183,9.647782069,1.029619417,15.39352178,10.65888157,2.517696473,10.53281595
2016,17.75214241,14.73036266,17.75214241,14.73036266,2.856470206,1.945910149,1.458615023,3.356897123,2.687847494,1.686398954,2.151762203,4.615120517,4.141546164,-0.356674944,10.00883807,9.908873025,15.36446656,7.210818453,8.70450229,2.087473713,6.49864353,16.72454224,20.16433871,11.40417031,12.4667894,13.70540435,3.912023005,2.424802726,6.527957918,6.587550015,9.67199676,13.81513149,8.890410552,12.14419724,4.641502115,4.730921391,4.694096395,8.666474894,3.280911216,3.262701304,9.565704457,3.267665989,9.714383043,12.90894241,6.490723535,13.5654248,15.24980692,10.22581378,10.22850154,9.649556131,1.064710737,15.36432654,10.59393108,2.791165108,10.37051802
2017,17.75604718,14.70020948,17.75604718,14.70020948,2.862200881,1.960094784,1.481604541,3.360375387,2.694627181,1.704748092,2.163323026,4.629862799,4.12552018,0,10.03924147,9.926275914,15.3119999,7.46565531,8.774931387,1.987442623,6.40861116,16.05217068,19.49570674,11.41003966,12.44968919,13.6703287,3.939638172,2.442347035,6.514712691,6.559615237,10.41927087,14.56240559,9.608982255,12.14419724,4.680277658,4.785823686,4.710430697,9.103534368,3.549617387,3.66944176,9.803501458,3.493472658,9.761463053,12.98529889,6.56667243,13.53409282,15.19489812,10.3003659,10.30040288,9.715554279,1.131402111,15.31184069,10.47585032,3.04927304,10.54799581
